V1,Control.M.6-Rapamycin.M.6_logFC,Control.M.6-Rapamycin.M.6_logCPM,Control.M.6-Rapamycin.M.6_LR,Control.M.6-Rapamycin.M.6_PValue,Control.M.6-Rapamycin.M.6_FDR
Peg10,-4.24344581202578,-0.891063994153218,13.0084822273918,0.0003100831708935,0.0811118698419292
Tnxa,-5.26092550287062,-0.886139655982884,10.914608590801,0.0009540887254751,0.156497804299642
Cyp21a2-ps,-2.25377753632696,0.934443299736952,11.7117718667086,0.0006210595543521,0.118659188137896
Ankrd40cl,-1.55708088331594,-0.663296316985372,6.03224558119869,0.0140468519807548,0.553706342633306
Rps19-ps1,-3.85470210073655,-0.795631213932908,7.59469433782566,0.0058540319607028,0.376822379782487
9430037G07Rik,1.83969047765471,0.157297410532462,10.7074065672271,0.0010670749824009,0.156497804299642
A530020G20Rik,-1.92197391883991,0.320713592906513,9.29947963234807,0.0022921895671104,0.245145091599394
5730420D15Rik,1.83464345848971,-0.96275468946956,5.63793526323724,0.017575893686865,0.582921652444449
Gm4575,-1.92103121828724,-0.334596594542723,4.3556269573257,0.0368868794173541,0.716426202896152
Gm7901,-2.04210048492017,-0.734049074720878,3.86075850442938,0.0494279781055091,0.764080733059359
Rpl7a-ps10,3.34726928377954,-1.3441007650657,5.39770816858617,0.0201632119076993,0.610324158085516
Gm37416,-2.51933061463094,0.084076526347472,4.99594607054702,0.0254067606696562,0.648899950978771
Gm42686,-3.61260877832485,-1.36099556516473,14.6394137835632,0.0001301636874678,0.0475512566509479
Rpl21-ps10,-1.54118526989203,0.702519033262411,5.2198904693891,0.022329957487781,0.632919681559692
AI506816,2.05051624718022,0.704947522924156,4.5585629802289,0.032754545356409,0.694735205841215
Gm43549,-2.57285426154725,-1.15804858215559,6.18660050536137,0.0128721226227058,0.541821264245182
Gm6450,2.08089404770471,-1.39242007114793,4.36403444014587,0.0367052791215733,0.716426202896152
Gm44429,2.98084163684459,-1.53909913480265,4.07331785283942,0.0435656234127934,0.74736891129859
Gm42047,-1.58125747519588,4.28845078306912,5.91381066771999,0.0150226411488241,0.56639608821958
Gm47154,-1.92927742478656,-0.574284448364876,3.96268220090328,0.0465195235101581,0.759158818029337
Gm8960,3.63724163018103,0.136433342246512,6.4961867919875,0.0108106106450466,0.514571774144094
Gm48088,3.6552208622274,-1.88356508879463,6.48500688693746,0.0108788117558443,0.514571774144094
Gm47761,-2.05256582507457,-0.701664973387238,7.06977396578763,0.0078395144952936,0.430661438906405
Gm47644,-2.56330683443574,-2.05234199563678,3.9270522624724,0.0475151619799657,0.759158818029337
4930459C07Rik,-2.5248783328463,-1.72645965355955,4.80757106739842,0.0283349563364756,0.667447860265738
Gm48199,4.67690010176689,0.675238206645562,12.0028035667566,0.0005312057929101,0.113224744072819
Gm18025,-2.70360727452486,-1.66722530944745,5.69256968849244,0.0170368891779306,0.5764675217627
Gm5452,-2.32386168127417,-0.352464119703377,3.97948677108666,0.0460575947151686,0.758018379536547
Gm8483,-5.21515819502096,-1.80612727277141,10.4638688164201,0.0012173206561,0.167759379382895
Rpl19-ps6,-1.9487596225408,-0.782315178317882,8.29449558457363,0.0039765424008956,0.318102608957499
Rpsa-ps7,-1.97649934287421,2.82750892795929,7.20596762924905,0.0072661562822976,0.418391749969263
Gm7059,-2.94648892600785,0.813110116807959,3.99996434786447,0.0455012263537092,0.755723532469282
Rn18s-rs5,1.76359740519245,12.0200275686989,10.7388591972613,0.0010490898808029,0.156497804299642
Gm56514,-1.63584014040344,-0.920107850586306,10.6003767823883,0.001130646168837,0.16223548021092
Gm57265,1.97824409224028,0.92150037192037,4.71105249112828,0.0299692982107793,0.681451140535742
Gm55632,-3.31951866541469,0.441880807095013,5.05041886992269,0.0246199858843918,0.643894217833553
Rn7sk,1.70684753252536,1.45017640345162,9.59685104349933,0.0019491133761068,0.222560903074598
Gm55118,1.67646298477993,7.59221642565005,16.5390134747539,4.76593137714294e-05,0.0230873269681839
