V1,Control.M.6-alphaestradiol.M.6_logFC,Control.M.6-alphaestradiol.M.6_logCPM,Control.M.6-alphaestradiol.M.6_LR,Control.M.6-alphaestradiol.M.6_PValue,Control.M.6-alphaestradiol.M.6_FDR
Ank2,-2.45501537492195,0.192440286901671,6.07100002381516,0.0137419136369132,0.482322874106232
BC034090,-3.44225031364637,-1.14214492733217,18.8647062295273,1.40325050588713e-05,0.0060628006992193
Dnah17,-4.2183097766603,3.48021979802796,8.78835120752018,0.0030316012697187,0.217323667702801
Evpl,-1.63815483892667,0.191555557657228,4.89982194115817,0.026859464854468,0.655534969715306
Myo15b,-2.13078617685207,0.118919818449063,12.2541585140928,0.0004642224479251,0.0662060001986254
Chst11,-3.731416900538,-1.3183940421272,12.844348791088,0.0003384999935843,0.0535768405687017
Tdg,1.72369907763129,2.2488179610193,9.53457428153402,0.0020163693863236,0.164457556172293
Asb16,1.58258559750895,-1.02507666900003,4.76858590067436,0.0289836228018478,0.682411631031511
Cdhr2,-4.18094378069021,-1.6120638156891,16.8903656567717,3.96020801825838e-05,0.0126615770759757
Cdcp1,-2.46809852544299,1.56733811981287,6.42741302227554,0.0112372134225276,0.452953592660285
Pcdh17,-3.733987700194,-0.903906449233085,6.27339749849503,0.0122563911967088,0.463931059174659
Slc51a,-2.64407721366024,-1.30140133133767,14.8196878234265,0.0001182940844915,0.0259047840367457
Aff3,-1.51778833103346,-0.739619664228779,6.21232919990899,0.0126863600478579,0.468684925570455
Cpe,-2.14876745399802,0.583983346419479,4.83544175933052,0.027880496976411,0.666602538286305
Spon1,-1.95196584193134,-0.522015176344457,11.581540273926,0.0006660974568486,0.0838443617730913
Enpp6,-3.10227746595259,-0.717072833920777,15.498654109463,8.25640200490724e-05,0.0199980064318859
Hoxa7,-4.94428985116705,-2.75202435975782,5.87970840861082,0.0153163580528128,0.506226297321892
Slc19a3,-5.00825498857692,-2.54802152064415,14.7872513688014,0.0001203463548625,0.0259980652544894
Gdf15,1.62610636319073,3.10684049680721,6.93020869898214,0.0084751798560921,0.390211729561611
Slc35f1,-2.40871732712058,-2.40268666012551,4.83369713330985,0.0279087210772211,0.666602538286305
Cyp3a16,2.20190045298227,5.93774206048597,5.58828213374579,0.0180810201110152,0.549511763297888
Trps1,-1.5979349861895,-0.818414597662288,7.70315467009092,0.0055124398619627,0.309993364049969
Vill,-4.23722455807746,-0.410710526618003,27.4518610707289,1.61053811606788e-07,0.0001980466332573
Gcnt1,-4.11040158014122,-0.557423816187203,26.3900464465937,2.78974390152448e-07,0.0002973123067318
Ppp1r10,-1.65851246963609,5.11518853158483,11.8084223856274,0.0005896337415543,0.0772613523974407
Mmd2,-3.2922686866235,2.67344496576132,28.7982818308865,8.03223376318788e-08,0.0001167302626712
Thbs1,-2.7268735864184,-0.146313504497473,13.5392951240908,0.0002336201193798,0.0419623733528811
Xaf1,-2.10731283793074,2.26654593336204,12.9710500742966,0.0003163445464716,0.0505708391989641
Esrp1,-3.03183898305968,-2.18856017422308,7.180272334961,0.007370951832519,0.363679123440277
S100g,-6.87298684157068,-1.14355812294254,23.1213305605144,1.52094053864042e-06,0.0009725502180282
Slc22a2,-2.73963527640612,1.46499973877956,31.0486970002807,2.5163519474195e-08,4.46960024793868e-05
Slc35f2,-2.98374533095924,-1.0689029071648,6.36968379933901,0.0116086278824886,0.458211173652995
Esm1,-3.23441484372566,-1.14027305548338,9.38965466525951,0.0021821330590691,0.171840291045713
Mgat3,-3.08086594991825,-1.13337750371745,12.0046064827684,0.0005306921556811,0.071895294921341
Defb1,-3.529072097088,-0.148436824972405,9.75951856975389,0.0017839662149272,0.152505261560569
Ldhb-ps,-2.16154325820836,-0.823290372399652,7.07783798256963,0.0078043116423297,0.378015268823939
Mtmr11,-1.65484188672224,-0.34554391400249,8.22434880612568,0.0041332033850744,0.26596406609403
Scn4b,-3.10739942970371,-1.08247924877258,6.18278862107927,0.0128998814667824,0.471893604411863
Atp10d,-1.74862381821948,2.09091650250484,10.8764417291933,0.000973951831968,0.103109893945974
Prr15l,-1.5056718794347,-1.00926878521195,7.8410528973165,0.0051072850591901,0.301273280281232
Cd24a,-1.61640957963209,0.244389607715005,10.283018990066,0.0013426008908173,0.124492549168814
A2ml1,2.61145259525953,2.24949841914497,9.44594788105698,0.0021161610566239,0.16914475325595
Rpsa-ps10,-1.53030525896544,6.80946240381272,7.32746892797375,0.0067908615992591,0.348586859750658
Bex4,-2.52679738377387,-1.50596856635856,8.13170001087416,0.0043497943191263,0.269529391382331
Tmem229a,-3.13005124252524,0.143661633358283,22.2264290673853,2.42315249597598e-06,0.0014346857703952
Gm5763,-1.58884131276329,-0.243746208890388,10.5906239070408,0.0011366261368509,0.112161144590736
Pls1,-2.15890589820185,-0.268780333122857,7.08425895817246,0.007776396977737,0.378015268823939
Lrrc19,-5.47237702242192,-2.03727726206716,16.3614423290565,5.23392125432418e-05,0.015494345402153
Ces2b,-3.17661922147131,-1.31710859285783,6.33887561097688,0.0118119734550359,0.461677769320793
Nat8f3,-2.44735430263069,0.504919596044811,8.88128914714981,0.002881080356452,0.211270415496528
Rab11fip5,-1.71318293535633,0.863959527167329,14.1973215573138,0.0001646046492787,0.0325138346352911
Tacstd2,-7.00089756548197,-2.50347367191811,8.71864092427959,0.003149727539697,0.222794444467245
Kcnj16,-4.24250750206022,0.242246526470008,32.4900893028498,1.19801922775963e-08,2.39394192187068e-05
Ezr,-1.91455654359053,2.10838652647921,25.1883296773613,5.19958872176074e-07,0.000437476975295
Tmem171,-2.05313908598097,-1.901874545041,3.87876680660591,0.0489004629928901,0.824009246053232
Glis3,-1.92930883713447,-0.742247807584616,11.4746905132065,0.000705503949708,0.0881108292190035
AI854703,-3.13681638281159,-2.35768599622225,8.48922713141097,0.0035725553810591,0.244063548382958
Gvin-ps6,-1.85737639596723,-1.26287755388537,8.82095428948735,0.0029779088915,0.216385688816002
Slc51b,-2.14862940679966,-0.77580602127372,6.30013598264519,0.0120728710990524,0.463476080668067
Ifi205,-1.72309461203055,-1.19403910222419,4.75739742743993,0.0291726269617183,0.682411631031511
Sytl5,3.69974084804827,-1.61908433284073,5.18601986078835,0.0227693052568623,0.604634740591695
Kbtbd13,3.85180868924415,-1.41043370193804,6.39307798575025,0.0114566204378883,0.454415608494618
Gpc3,-1.5489541811653,-0.42616186182756,3.95327213421031,0.0467803207453943,0.815518219668346
Kbtbd11,-1.92080030862443,0.108769394274072,10.0029010773993,0.001562938202179,0.137280934615569
St6galnac2,-2.28385203715872,-0.018513191174145,19.3174184359723,1.10691945154826e-05,0.0049153373201251
Xlr3a,3.82943450375134,1.33413236030035,16.229112284187,5.61249716322333e-05,0.01602167493773
Sema3b,-1.87207862026399,0.221212299457334,15.2209240766165,9.56378614697231e-05,0.0224833360802205
Trim5,2.9006150095621,-0.338613657244377,6.08678785199871,0.0136196473516077,0.480626230822961
Fhit,-1.89761307661249,-0.431516939841178,11.2973633731943,0.0007761723656824,0.0922604047723415
Plekhh1,-1.51100644685282,-1.1098133227158,7.98476410140245,0.0047172641489805,0.282669376857305
Gm9104,-3.80548176909959,-0.509046167857191,7.24284597233461,0.0071184059130548,0.357159583895727
Slc22a12,-8.74150682807126,0.0001999921584499,18.1291464446754,2.06417553980984e-05,0.00824947754485
Obp2a,-2.96796598644095,5.23179783569363,6.27898369173261,0.0122178148866086,0.463931059174659
Tnfaip8,-1.62459904400583,0.891836263265265,18.4253961616941,1.76687393434886e-05,0.0072423709524361
Gm8730,-1.86758862279056,6.58202663538689,6.23817012614393,0.0125025589115112,0.467687534099206
Klk1,-9.12385816702517,-0.358138061044892,21.3908670777416,3.74551106629125e-06,0.0020646806864045
Chi3l1,2.28955995145983,-0.126515717061256,4.19405145014774,0.0405660413822134,0.773336874959344
Trim12a,7.41832901862603,1.31459564710669,8.10796914626872,0.0044071073864339,0.269931106051853
Ifi208,-1.54878023139832,-1.07995693149179,4.97507390199304,0.0257151050977074,0.641313057865757
Vsig10,-1.59402255926943,1.62394245000091,8.11406710824401,0.0043923070324899,0.269931106051853
Col4a4,-2.86253066178905,-0.274190217214906,17.6635383631943,2.63632047129262e-05,0.0095782316032008
Capn6,-1.81235164969669,-0.587020759654652,11.2481547148913,0.0007970221280787,0.0936852627901941
