V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
Slc25a30,2.22496099505798,5.00530688901836,13.1150954567458,0.0002929258836393,0.0031985745736741
Tsc22d1,3.0047144434479,6.22939396110238,25.7098431675727,3.96798044163812e-07,1.07518042783444e-05
Scara5,5.95955857154457,2.07792398142309,32.944589059288,9.482329388180141e-09,3.69718335608409e-07
Sorbs3,-1.90899678951867,5.68503728351858,46.574463515404,8.82022148847968e-12,6.15720789147756e-10
Dct,9.76324722209608,3.27394938514983,132.913669154894,9.443011006680691e-31,4.0798911879134495e-28
C9,3.60452425394042,7.86552780536324,172.141739096587,2.52003175374932e-39,1.61140910461747e-36
C6,4.55415352199991,6.00900751314412,134.156118185373,5.0503896379284905e-31,2.24265357644236e-28
Tgm1,2.01064065418112,3.48427186975152,20.6144809347074,5.61696404539322e-06,0.0001099054923251
Angpt1,-4.06718969457691,-0.582954246302433,44.7901821207341,2.19319634049055e-11,1.4630806514260202e-09
Sybu,-6.24221939968645,0.705910068791325,70.8441981432129,3.8657885154246504e-17,5.468893381201641e-15
Wnt7b,-3.58716430132033,-2.49457864594626,4.95459541496952,0.0260214130574439,0.103297320371566
Enpp2,-2.25567951484067,5.74145078333681,58.3035338554096,2.24640212864463e-14,2.1896941724703097e-12
Emp2,-1.70022790565819,3.98883342734868,36.6400435508491,1.4208285682691802e-09,6.88283802798516e-08
Dubr,-1.98482985472048,-0.476067599957115,10.2442758612929,0.0013710939762295,0.0112922763029397
Cd200,-1.6849898013345,-0.647975594448722,8.6652519547175,0.0032433515564862,0.022006883693544
Zbtb20,1.82839636509464,6.14242721735106,58.5840616770105,1.94788050125627e-14,1.9461761058176698e-12
Crybg3,1.86172068775437,2.91189173557089,14.4828796935432,0.0001414391925639,0.0017365951861193
Ncam2,2.04198985587608,0.716088201332486,17.4024762518218,3.02431713222197e-05,0.0004763224992679
Sdf2l1,2.39007385965586,4.97215793467443,18.0401882315818,2.1629046732706e-05,0.000356088507795
Robo1,-3.88005454042281,1.77344189016128,29.2672432321283,6.30526221175743e-08,2.0570596268807e-06
Adamts5,2.10017648478395,1.16430511226008,19.4529758059323,1.03107070887706e-05,0.0001851713222066
Cbr3,-2.16669981952297,-0.594704501323111,8.30581316107823,0.0039518384996462,0.0257538076866467
Cela1,3.06692744431143,4.51129930661463,77.786406068,1.1480758373901e-18,1.91178545172064e-16
Nr4a1,-4.91329557641813,2.55698572566599,23.6029325722423,1.18406925246149e-06,2.77365927071215e-05
Krt7,-1.75408701785829,-0.379827362091418,9.79504975551039,0.0017498227629566,0.013718816424044
Csad,3.9245722090952,7.457882991502,37.8606040070855,7.59842474299831e-10,3.8932185237683e-08
Igfbp6,-1.98385691831625,0.305600226442961,5.17845934856145,0.022868592601629,0.0940368423422479
Fabp2,3.5219077569552,6.068559117603,89.7245500465927,2.7373706594168202e-21,5.757843073873331e-19
Slc10a2,5.90917087746762,3.82011163239288,145.067991510928,2.0753738659057898e-33,1.03677895688656e-30
